experiment,total_experiment_dir_mb,file,file_name,file_size_bytes,file_size_mb
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore_store.fp,cora_combined_b5_zscore_store.fp,24,0.0
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore_store.meta,cora_combined_b5_zscore_store.meta,312,0.0003
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore_reordered.rmap,cora_combined_b5_zscore_reordered.rmap,21680,0.0207
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore_reordered.fmat,cora_combined_b5_zscore_reordered.fmat,15587312,14.8652
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore.rmap,cora_combined_b5_zscore.rmap,21680,0.0207
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/cora_combined_b5_zscore.fmat,cora_combined_b5_zscore.fmat,15587312,14.8652
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/node_features.rmap.idx,node_features.rmap.idx,43352,0.0413
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/node_features.rmap,node_features.rmap,21680,0.0207
cora_b5_combined,74.0159,/tmp/mdb_cora_b5_combined/gnn_features/node_features.fmat,node_features.fmat,15522320,14.8032
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore_store.fp,cora_structural_b5_zscore_store.fp,24,0.0
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore_store.meta,cora_structural_b5_zscore_store.meta,312,0.0003
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore_reordered.rmap,cora_structural_b5_zscore_reordered.rmap,21680,0.0207
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore_reordered.fmat,cora_structural_b5_zscore_reordered.fmat,65056,0.062
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore.rmap,cora_structural_b5_zscore.rmap,21680,0.0207
cora_b5_structural,6.1041,/tmp/mdb_cora_b5_structural/gnn_features/cora_structural_b5_zscore.fmat,cora_structural_b5_zscore.fmat,65056,0.062
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_store.fp,cora_query_combined_features_zscore_store.fp,24,0.0
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_store.meta,cora_query_combined_features_zscore_store.meta,312,0.0003
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_reordered.rmap.idx,cora_query_combined_features_zscore_reordered.rmap.idx,43352,0.0413
cora_b6_query_combined,74.0159,/tmp/mdb_cora_b6_query_combined/gnn_features/cora_query_combined_features_zscore_reordered.rmap,cora_query_combined_features_zscore_reordered.rmap,21680,0.0207
